B,alg,inst,d,banda,h0,semilla,exito,evals,cruda,simple,t
100,HC,0,10,0,4,0,0,100,,,0.0001148430001194356
100,HC,0,10,0,4,1,0,100,,,0.00010827100004462409
100,HC,0,10,0,4,2,0,100,,,6.475800000771414e-05
100,HC,0,10,0,4,3,0,100,,,6.664900001851493e-05
100,HC,0,10,0,4,4,0,100,,,6.373500036715996e-05
100,HC,0,10,0,4,5,0,100,,,6.511700030387146e-05
100,HC,0,10,0,4,6,0,100,,,6.0167000356159406e-05
100,HC,0,10,0,4,7,0,100,,,6.329200004984159e-05
100,HC,0,10,0,4,8,0,100,,,5.7528999604983255e-05
100,HC,0,10,0,4,9,0,100,,,6.0631999986071605e-05
100,HC,1,10,0,8,0,0,100,,,0.0001139169999078149
100,HC,1,10,0,8,1,0,100,,,7.781900012560072e-05
100,HC,1,10,0,8,2,0,100,,,8.443800015811576e-05
100,HC,1,10,0,8,3,0,100,,,8.463299991490203e-05
100,HC,1,10,0,8,4,0,100,,,7.444399989253725e-05
100,HC,1,10,0,8,5,0,100,,,7.732499989288044e-05
100,HC,1,10,0,8,6,0,100,,,7.348400004048017e-05
100,HC,1,10,0,8,7,0,100,,,7.526899980803137e-05
100,HC,1,10,0,8,8,0,100,,,8.055199987211381e-05
100,HC,1,10,0,8,9,0,100,,,7.581499994557817e-05
100,HC,2,10,0,10,0,1,23,10,10,1.2596000033227028e-05
100,HC,2,10,0,10,1,1,71,14,14,4.774100034410367e-05
100,HC,2,10,0,10,2,1,62,10,10,4.719200023828307e-05
100,HC,2,10,0,10,3,1,45,10,10,2.737099976002355e-05
100,HC,2,10,0,10,4,1,40,10,10,2.611800027807476e-05
100,HC,2,10,0,10,5,1,23,10,10,1.1158000233990606e-05
100,HC,2,10,0,10,6,0,100,,,7.295099976545316e-05
100,HC,2,10,0,10,7,1,48,14,14,5.55970000277739e-05
100,HC,2,10,0,10,8,1,79,14,14,5.099600002722582e-05
100,HC,2,10,0,10,9,1,54,14,14,3.245900006731972e-05
100,HC,3,10,0,8,0,1,94,10,10,6.020899991199258e-05
100,HC,3,10,0,8,1,0,100,,,6.958199992368463e-05
100,HC,3,10,0,8,2,1,37,10,10,2.3352999960479792e-05
100,HC,3,10,0,8,3,0,100,,,6.615799975406844e-05
100,HC,3,10,0,8,4,1,48,10,10,3.189100016243174e-05
100,HC,3,10,0,8,5,1,62,10,10,4.077700032212306e-05
100,HC,3,10,0,8,6,1,67,10,10,4.00169997192279e-05
100,HC,3,10,0,8,7,1,29,10,10,1.884299990706495e-05
100,HC,3,10,0,8,8,1,37,10,10,2.357600033064955e-05
100,HC,3,10,0,8,9,1,34,10,10,2.04739999389858e-05
100,HC,4,10,0,10,0,1,59,10,10,3.566599980331375e-05
100,HC,4,10,0,10,1,0,100,,,5.925999994360609e-05
100,HC,4,10,0,10,2,1,21,10,10,1.1486999937915243e-05
100,HC,4,10,0,10,3,1,21,10,10,1.0984000255120918e-05
100,HC,4,10,0,10,4,1,21,10,10,1.0750000001280569e-05
100,HC,4,10,0,10,5,0,100,,,6.589199983864091e-05
100,HC,4,10,0,10,6,0,100,,,8.599900002081995e-05
100,HC,4,10,0,10,7,0,100,,,6.204100009199465e-05
100,HC,4,10,0,10,8,1,35,10,10,2.1134000235178974e-05
100,HC,4,10,0,10,9,1,32,10,10,1.8183000065619126e-05
100,HC,5,5,0,5,0,1,12,5,5,7.750999884592602e-06
100,HC,5,5,0,5,1,1,12,5,5,7.187999926827615e-06
100,HC,5,5,0,5,2,1,12,5,5,6.994000159465941e-06
100,HC,5,5,0,5,3,1,12,5,5,6.888999905640958e-06
100,HC,5,5,0,5,4,1,12,5,5,6.874000064271968e-06
100,HC,5,5,0,5,5,1,12,5,5,6.7399996623862535e-06
100,HC,5,5,0,5,6,1,12,5,5,6.5990002440230455e-06
100,HC,5,5,0,5,7,1,12,5,5,6.9299999267968815e-06
100,HC,5,5,0,5,8,1,12,5,5,6.9119996624067426e-06
100,HC,5,5,0,5,9,1,12,5,5,7.211000138340751e-06
100,HC,6,8,0,8,0,1,18,8,8,9.373000011692056e-06
100,HC,6,8,0,8,1,1,34,8,8,1.967999969565426e-05
100,HC,6,8,0,8,2,1,46,8,8,2.9898000320827123e-05
100,HC,6,8,0,8,3,1,18,8,8,9.583000064594671e-06
100,HC,6,8,0,8,4,1,18,8,8,9.447000138607109e-06
100,HC,6,8,0,8,5,1,18,8,8,9.527999736747006e-06
100,HC,6,8,0,8,6,1,18,8,8,9.312999736721395e-06
100,HC,6,8,0,8,7,1,18,8,8,9.341000350104878e-06
100,HC,6,8,0,8,8,1,18,8,8,9.148000117420452e-06
100,HC,6,8,0,8,9,1,18,8,8,8.986000011645956e-06
100,HC,7,10,0,8,0,0,100,,,8.25890001578955e-05
100,HC,7,10,0,8,1,0,100,,,7.94099996710429e-05
100,HC,7,10,0,8,2,0,100,,,7.484400020985049e-05
100,HC,7,10,0,8,3,0,100,,,8.439300017926143e-05
100,HC,7,10,0,8,4,0,100,,,0.0001050060000125086
100,HC,7,10,0,8,5,0,100,,,7.494800001950352e-05
100,HC,7,10,0,8,6,0,100,,,7.711099988227943e-05
100,HC,7,10,0,8,7,0,100,,,7.696199963902473e-05
100,HC,7,10,0,8,8,0,100,,,8.093099995676312e-05
100,HC,7,10,0,8,9,0,100,,,7.318300004044431e-05
100,HC,8,10,0,10,0,1,19,10,10,1.1501999779284233e-05
100,HC,8,10,0,10,1,1,19,10,10,1.0805999863805482e-05
100,HC,8,10,0,10,2,1,41,10,10,2.54350002251158e-05
100,HC,8,10,0,10,3,1,33,10,10,2.0368000150483567e-05
100,HC,8,10,0,10,4,1,19,10,10,1.0550000297371298e-05
100,HC,8,10,0,10,5,1,19,10,10,1.5437999991263496e-05
100,HC,8,10,0,10,6,1,21,10,10,1.112100017053308e-05
100,HC,8,10,0,10,7,1,19,10,10,1.0960000054183183e-05
100,HC,8,10,0,10,8,1,19,10,10,1.0332999863749137e-05
100,HC,8,10,0,10,9,1,19,10,10,1.0528000075282762e-05
100,HC,9,8,0,8,0,1,18,8,8,1.0099000064656138e-05
100,HC,9,8,0,8,1,1,18,8,8,9.490000138612231e-06
100,HC,9,8,0,8,2,1,41,8,8,3.80749997930252e-05
100,HC,9,8,0,8,3,1,18,8,8,1.0031999863713281e-05
100,HC,9,8,0,8,4,1,29,8,8,2.205400005550473e-05
100,HC,9,8,0,8,5,1,58,8,8,5.141200017533265e-05
100,HC,9,8,0,8,6,1,18,8,8,1.0262000159855234e-05
100,HC,9,8,0,8,7,1,18,8,8,1.0461999863764504e-05
100,HC,9,8,0,8,8,1,18,8,8,9.38400035011e-06
100,HC,9,8,0,8,9,1,39,8,8,2.999500020450796e-05
100,HC,10,10,0,10,0,1,97,10,10,5.7638999805931235e-05
100,HC,10,10,0,10,1,1,29,10,10,1.6814999980852008e-05
100,HC,10,10,0,10,2,1,51,10,10,2.88479996015667e-05
100,HC,10,10,0,10,3,1,21,10,10,1.0613000085868407e-05
